,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,no,no2,nox,o3,pm10,pm2.5,so2,data
2785,2019-05-02,NA,NA,744.583.333.333.333,NA,NA,159.541.666.666.667,18.9,13.4,NA,1459,802901,181.716.052.165.834,NA,11.42,35.04,52.29,NA,35.79,NA,NA,2019-05-02
2786,2019-05-03,NA,NA,878.125,NA,NA,1.310.625,15.7,10.7,NA,1164,669676,173.815.397.296.603,NA,5.71,45.08,53.46,NA,17.38,NA,NA,2019-05-03
2787,2019-05-04,NA,NA,699.791.666.666.667,NA,NA,150.145.833.333.333,20.3,9.2,NA,332,216722,153.191.646.441.063,NA,3.75,25.25,30.96,NA,14.04,NA,NA,2019-05-04
2788,2019-05-05,NA,NA,517.291.666.666.667,NA,NA,158.270.833.333.333,20.6,11.9,NA,237,163342,145.094.341.932.877,NA,2.62,19.54,23.25,NA,20.38,NA,NA,2019-05-05
2789,2019-05-06,NA,NA,58.875,NA,NA,148.666.666.666.667,17.5,11.4,NA,1873,962979,194.500.606.970.661,NA,6.25,31.71,41.12,NA,30.58,NA,NA,2019-05-06
2790,2019-05-07,NA,NA,78.5,NA,NA,153.958.333.333.333,17.5,11.9,NA,1437,804762,178.562.109.045.904,NA,18.91,45.87,74.65,NA,39.54,NA,NA,2019-05-07
2791,2019-05-08,NA,NA,804.166.666.666.667,NA,NA,182.604.166.666.667,23,15.6,NA,1335,746177,178.911.973.968.643,NA,8.29,41.58,54.08,NA,56.37,NA,NA,2019-05-08
2792,2019-05-09,NA,NA,707.083.333.333.333,NA,NA,172.458.333.333.333,20.8,13.8,NA,1309,714793,18.312.994.111.582,NA,4.58,27.33,34.25,NA,30.75,NA,NA,2019-05-09
2793,2019-05-10,NA,NA,752.916.666.666.667,NA,NA,172.145.833.333.333,19.8,14.5,NA,1296,706674,183.394.323.266.457,NA,4.79,31.83,38.92,NA,29,NA,NA,2019-05-10
2794,2019-05-11,NA,NA,766.666.666.666.667,NA,NA,174.604.166.666.667,20.8,15.1,NA,391,266816,146.542.935.955.865,NA,4.17,26.42,32.42,NA,26.92,NA,NA,2019-05-11
2795,2019-05-12,NA,NA,705.833.333.333.333,NA,NA,168.520.833.333.333,20.1,13.9,NA,227,159815,142.039.232.862.998,NA,2.58,20.71,24.92,NA,24.96,NA,NA,2019-05-12
2796,2019-05-13,NA,NA,635.416.666.666.667,NA,NA,167.583.333.333.333,20.5,13,NA,1995,992553,200.996.823.343.439,NA,7.62,34.04,45.62,NA,45.25,NA,NA,2019-05-13
2797,2019-05-14,NA,NA,723.125,NA,NA,166.583.333.333.333,20.8,12.2,NA,1558,842594,184.905.185.652.877,NA,8.33,38.92,51.25,NA,47.38,NA,NA,2019-05-14
2798,2019-05-15,NA,NA,694.375,NA,NA,154.854.166.666.667,17.9,13.4,NA,1483,801726,184.975.914.464.543,NA,5.79,30.92,39.79,NA,36.5,NA,NA,2019-05-15
2799,2019-05-16,NA,NA,668.958.333.333.333,NA,NA,1.604.375,19.8,11.3,NA,1365,727804,187.550.494.363.867,NA,11.38,45.67,62.79,NA,54.88,NA,NA,2019-05-16
2800,2019-05-17,NA,NA,865.208.333.333.333,NA,NA,147.645.833.333.333,16.2,12.4,NA,1338,732625,18.263.095.034.977,NA,2.96,31.33,35.62,NA,18.25,NA,NA,2019-05-17
2801,2019-05-18,NA,NA,768.333.333.333.333,NA,NA,1.488.125,19.3,12,NA,353,241546,146.141.935.697.548,NA,2.42,23.33,26.79,NA,12.46,NA,NA,2019-05-18
2802,2019-05-19,NA,NA,742.708.333.333.333,NA,NA,1.384.375,16.7,11.4,NA,225,160628,140.075.204.821.077,NA,1.88,23.04,25.62,NA,10.62,NA,NA,2019-05-19
2803,2019-05-20,NA,NA,71,NA,NA,156.041.666.666.667,19.9,11.2,NA,1872,935504,200.106.039.097.641,NA,5.5,28.08,36.17,NA,15.88,NA,NA,2019-05-20
2804,2019-05-21,NA,NA,787.291.666.666.667,NA,NA,168.833.333.333.333,22.3,11.7,NA,1576,813580,193.711.743.159.861,NA,13.48,41.26,61.52,NA,28.21,NA,NA,2019-05-21
2805,2019-05-22,NA,NA,773.125,NA,NA,1.838.125,21.7,14.1,NA,1484,831858,178.395.831.980.939,NA,11.71,34.67,52.5,NA,35.54,NA,NA,2019-05-22
2806,2019-05-23,NA,NA,792.708.333.333.333,NA,NA,184.458.333.333.333,22.1,14,NA,1377,723820,190.240.667.569.285,NA,15.17,46.67,69.62,NA,36.88,NA,NA,2019-05-23
2807,2019-05-24,NA,NA,940.416.666.666.667,NA,NA,157.520.833.333.333,17.7,13.5,NA,1233,687420,17.936.632.626.342,NA,8.96,62.42,76,NA,18.24,NA,NA,2019-05-24
2808,2019-05-25,NA,NA,845.833.333.333.333,NA,NA,176.895.833.333.333,25.1,13.9,NA,365,249583,146.243.934.883.385,NA,9.12,47.67,61.33,NA,14.58,NA,NA,2019-05-25
2809,2019-05-26,NA,NA,617.916.666.666.667,NA,NA,194.729.166.666.667,23.5,16,NA,249,175479,141.897.321.046.963,NA,8.38,37.54,50.17,NA,17.08,NA,NA,2019-05-26
2810,2019-05-27,NA,NA,684.166.666.666.667,NA,NA,19.025,22.8,15.8,NA,1873,976901,191.728.742.216.458,NA,6.46,28.5,38.12,NA,17.79,NA,NA,2019-05-27
2811,2019-05-28,NA,NA,758.958.333.333.333,NA,NA,177.854.166.666.667,20.2,16.4,NA,1551,839647,18.472.048.372.709,NA,5.62,21.12,29.46,NA,20.46,NA,NA,2019-05-28
2812,2019-05-29,NA,NA,707.291.666.666.667,NA,NA,181.854.166.666.667,20.9,15.2,NA,1353,757255,178.671.649.576.431,NA,07.04,23.83,34.38,NA,28,NA,NA,2019-05-29
2813,2019-05-30,NA,NA,742.916.666.666.667,NA,NA,181.541.666.666.667,21.8,14,NA,1273,693225,183.634.462.115.475,NA,11.17,36.21,53.29,NA,33.17,NA,NA,2019-05-30
2814,2019-05-31,NA,NA,589.166.666.666.667,NA,NA,2.043.125,25,15.1,NA,1173,655945,178.825.968.640.663,NA,15.83,54.83,78.88,NA,39.29,NA,NA,2019-05-31
2815,2019-06-01,NA,NA,536.041.666.666.667,NA,NA,21.425,26,16.8,NA,370,260429,142.073.271.409.866,NA,10.42,50.17,65.88,NA,35.46,NA,NA,2019-06-01
2816,2019-06-02,NA,NA,512.083.333.333.333,NA,NA,214.791.666.666.667,26.3,16,NA,253,170722,148.194.140.181.113,NA,6.42,43.92,53.67,NA,34.04,NA,NA,2019-06-02
2817,2019-06-03,NA,NA,551.875,NA,NA,218.979.166.666.667,26.9,17.3,NA,1838,961707,191.118.500.749.189,NA,11.48,62.35,80,NA,53.67,NA,NA,2019-06-03
2818,2019-06-04,NA,NA,717.708.333.333.333,NA,NA,205.791.666.666.667,24.2,17.4,NA,1405,830712,16.913.202.168.742,NA,12.79,43.92,63.38,NA,43.92,NA,NA,2019-06-04
2819,2019-06-05,NA,NA,691.666.666.666.667,NA,NA,20.275,25.5,17,NA,1414,797564,177.289.847.585.899,NA,3.29,27.04,31.96,NA,52.73,NA,NA,2019-06-05
2820,2019-06-06,NA,NA,762.291.666.666.667,NA,NA,1.884.375,21.6,16.6,NA,1289,733973,175.619.539.138.361,NA,3.25,13.29,18.29,NA,25.45,NA,NA,2019-06-06
2821,2019-06-07,NA,NA,703.125,NA,NA,2.160.625,27,18.5,NA,1190,653073,182.215.464.427.407,NA,10.54,33.21,48.96,NA,55.47,NA,NA,2019-06-07
2822,2019-06-08,NA,NA,536.041.666.666.667,NA,NA,193.979.166.666.667,21.7,16.6,NA,424,284393,149.089.464.227.319,NA,2.46,16.58,20.33,NA,22.88,NA,NA,2019-06-08
2823,2019-06-09,NA,NA,57.5,NA,NA,20.825,25.6,19.2,NA,326,222610,146.444.454.427.025,NA,2.12,29.08,32.33,NA,32.79,NA,NA,2019-06-09
2824,2019-06-10,NA,NA,608.125,NA,NA,222.333.333.333.333,28.1,17.2,NA,327,210152,155.601.659.751.037,NA,6.33,42.58,52.17,NA,57.5,NA,NA,2019-06-10
2825,2019-06-11,NA,NA,95.5,NA,NA,148.854.166.666.667,18.9,13,NA,1579,877383,179.967.015.545.093,NA,05.08,27.25,34.96,NA,14.25,NA,NA,2019-06-11
2826,2019-06-12,NA,NA,76.25,NA,NA,166.854.166.666.667,20.5,11.8,NA,1359,761597,178.440.828.942.341,NA,7.58,29.33,40.75,NA,14.58,NA,NA,2019-06-12
2827,2019-06-13,NA,NA,685.416.666.666.667,NA,NA,179.333.333.333.333,20.3,14.4,NA,1145,652402,17.550.528.661.776,NA,7.29,25.54,36.67,NA,16.54,NA,NA,2019-06-13
2828,2019-06-14,NA,NA,570.416.666.666.667,NA,NA,214.520.833.333.333,25.9,17.8,NA,1152,647849,177.819.214.045.248,NA,7.75,44.67,56.42,NA,46.58,NA,NA,2019-06-14
2829,2019-06-15,NA,NA,821.666.666.666.667,NA,NA,19.225,21.5,17.6,NA,370,247633,149.414.657.981.771,NA,5,27.17,34.62,NA,38.33,NA,NA,2019-06-15
2830,2019-06-16,NA,NA,683.541.666.666.667,NA,NA,20.6,25.5,16.6,NA,255,175851,145.009.127.045.055,NA,4.75,28.62,35.88,NA,29.38,NA,NA,2019-06-16
2831,2019-06-17,NA,NA,656.458.333.333.333,NA,NA,217.666.666.666.667,26.6,16.6,NA,1521,837327,181.649.463.112.977,NA,13.17,47.62,67.67,NA,47.17,NA,NA,2019-06-17
2832,2019-06-18,NA,NA,581.666.666.666.667,NA,NA,227.666.666.666.667,27,17.9,NA,1295,723600,178.966.279.712.548,NA,20.35,56.39,87.3,NA,55.42,NA,NA,2019-06-18
2833,2019-06-19,NA,NA,742.708.333.333.333,NA,NA,216.270.833.333.333,24.8,18.4,NA,1108,626404,176.882.650.813.213,NA,8.42,42.67,55.38,NA,48.32,NA,NA,2019-06-19
2834,2019-06-20,NA,NA,838.958.333.333.333,NA,NA,209.354.166.666.667,23.7,19.1,NA,1096,644649,170.015.000.411.076,NA,5.46,18.46,26.33,NA,31.5,NA,NA,2019-06-20
2835,2019-06-21,NA,NA,734.791.666.666.667,NA,NA,220.333.333.333.333,24.8,19.3,NA,1082,613904,176.249.055.226.876,NA,3.79,19.33,24.88,NA,34.96,NA,NA,2019-06-21
2836,2019-06-22,NA,NA,64.375,NA,NA,2.343.125,27.3,20.3,NA,308,190644,161.557.667.694.761,NA,5.46,35.75,43.88,NA,43.54,NA,NA,2019-06-22
2837,2019-06-23,NA,NA,764.375,NA,NA,234.270.833.333.333,28.9,20.5,NA,274,175522,156.105.787.308.713,NA,6.96,30.42,40.88,NA,59.12,NA,NA,2019-06-23
2838,2019-06-24,NA,NA,730.416.666.666.667,NA,NA,227.854.166.666.667,26,20.4,NA,214,148807,143.810.439.025.046,NA,2.58,20.21,23.88,NA,61.5,NA,NA,2019-06-24
2839,2019-06-25,NA,NA,726.458.333.333.333,NA,NA,2.400.625,26,22,NA,1412,781841,180.599.380.180.881,NA,2.25,12.67,15.96,NA,33.57,NA,NA,2019-06-25
2840,2019-06-26,NA,NA,598.958.333.333.333,NA,NA,256.541.666.666.667,28.1,22.8,NA,1102,656969,167.740.030.351.508,NA,4.33,28.08,34.12,NA,32.62,NA,NA,2019-06-26
2841,2019-06-27,NA,NA,600.625,NA,NA,25.325,30,20.9,NA,1047,592587,176.682.917.445.033,NA,12.58,50.5,69.67,NA,51.5,NA,NA,2019-06-27
2842,2019-06-28,NA,NA,472.708.333.333.333,NA,NA,288.645.833.333.333,36,21.2,NA,857,506580,169.173.674.444.313,NA,26.96,92.46,133.38,NA,74.92,NA,NA,2019-06-28
2843,2019-06-29,NA,NA,573.541.666.666.667,NA,NA,269.541.666.666.667,31.9,23.2,NA,339,222707,15.221.793.657.137,NA,14.25,51.42,72.96,NA,56.04,NA,NA,2019-06-29
2844,2019-06-30,NA,NA,873.333.333.333.333,NA,NA,246.666.666.666.667,27.9,22.2,NA,194,136616,142.003.864.847.456,NA,02.08,13.96,16.75,NA,40.79,NA,NA,2019-06-30
2845,2019-07-01,NA,NA,885.208.333.333.333,NA,NA,240.791.666.666.667,26.7,22.4,NA,1157,671899,172.198.500.072.183,NA,4.14,18.18,24.41,NA,40.75,NA,NA,2019-07-01
2846,2019-07-02,NA,NA,821.041.666.666.667,NA,NA,252.541.666.666.667,28.8,22.3,NA,978,590215,165.702.328.812.382,NA,6.42,31.67,41.46,NA,41.17,NA,NA,2019-07-02
2847,2019-07-03,NA,NA,73.75,NA,NA,260.833.333.333.333,29,22.7,NA,933,559368,166.795.383.361.222,NA,11.96,48.17,66.12,NA,45.79,NA,NA,2019-07-03
2848,2019-07-04,NA,NA,752.291.666.666.667,NA,NA,253.979.166.666.667,27.9,22.8,NA,922,547932,168.269.055.284.232,NA,5.67,30.79,39.21,NA,42.3,NA,NA,2019-07-04
2849,2019-07-05,NA,NA,71.125,NA,NA,267.875,31.1,22.7,NA,825,475789,173.396.190.328.066,NA,11.12,48.42,65.17,NA,47.42,NA,NA,2019-07-05
2850,2019-07-06,NA,NA,762.916.666.666.667,NA,NA,269.708.333.333.333,30.5,24.1,NA,241,164642,146.378.202.402.789,NA,6.96,37.58,48.08,NA,60.12,NA,NA,2019-07-06
2851,2019-07-07,NA,NA,81,NA,NA,264.458.333.333.333,28.6,24.6,NA,194,120968,160.372.991.204.285,NA,4.75,23.12,30.58,NA,46.21,NA,NA,2019-07-07
2852,2019-07-08,NA,NA,726.458.333.333.333,NA,NA,252.604.166.666.667,28.3,23.2,NA,1188,656162,181.052.849.753.567,NA,11.79,51.33,69.38,NA,39.5,NA,NA,2019-07-08
2853,2019-07-09,NA,NA,633.541.666.666.667,NA,NA,255.520.833.333.333,29,23.2,NA,902,530687,169.968.361.765.033,NA,4.52,33.09,40.09,NA,30.21,NA,NA,2019-07-09
2854,2019-07-10,NA,NA,619.791.666.666.667,NA,NA,25.9,30,21.8,NA,967,549361,176.022.688.177.719,NA,5.92,41.46,50.75,NA,35.21,NA,NA,2019-07-10
2855,2019-07-11,NA,NA,647.916.666.666.667,NA,NA,26.6,31.1,21.8,NA,802,450556,178.002.290.503.289,NA,13.5,57.29,77.92,NA,48.58,NA,NA,2019-07-11
2856,2019-07-12,NA,NA,81.25,NA,NA,258.041.666.666.667,28.9,23.4,NA,845,483035,17.493.556.367.551,NA,7.88,34.42,46.62,NA,37.08,NA,NA,2019-07-12
2857,2019-07-13,NA,NA,73.625,NA,NA,25.975,30,22.5,NA,284,189734,149.683.240.747.573,NA,5.12,33.08,40.96,NA,32.08,NA,NA,2019-07-13
2858,2019-07-14,NA,NA,698.958.333.333.333,NA,NA,245.229.166.666.667,26.5,21.8,NA,187,121128,154.382.141.205.997,NA,3.12,25.79,30.46,NA,23.17,NA,NA,2019-07-14
2859,2019-07-15,NA,NA,670.625,NA,NA,254.520.833.333.333,28.5,22.8,NA,1131,630708,17.932.228.543.161,NA,07.04,29.08,39.83,NA,28.04,NA,NA,2019-07-15
2860,2019-07-16,NA,NA,700.208.333.333.333,NA,NA,252.375,29,21.3,NA,1002,572767,174.940.246.208.319,NA,7.96,33.88,46.33,NA,38.22,NA,NA,2019-07-16
2861,2019-07-17,NA,NA,774.166.666.666.667,NA,NA,246.979.166.666.667,29.7,19.1,NA,949,552012,171.916.552.538.713,NA,3.83,28.83,35,NA,28.29,NA,NA,2019-07-17
2862,2019-07-18,NA,NA,749.166.666.666.667,NA,NA,245.583.333.333.333,28.6,20.4,NA,910,539832,168.570.962.818.062,NA,6.62,30.29,40.71,NA,23.96,NA,NA,2019-07-18
2863,2019-07-19,NA,NA,792.083.333.333.333,NA,NA,254.083.333.333.333,28.4,22.2,NA,782,457215,171.035.508.458.821,NA,9.58,31.21,46.04,NA,23.92,NA,NA,2019-07-19
2864,2019-07-20,NA,NA,808.333.333.333.333,NA,NA,258.604.166.666.667,28.9,22.9,NA,272,195610,139.052.195.695.517,NA,3.83,24.83,30.92,NA,24.62,NA,NA,2019-07-20
2865,2019-07-21,NA,NA,81,NA,NA,254.854.166.666.667,28.6,23,NA,200,130310,153.480.162.688.972,NA,2.96,16.75,21.29,NA,19.75,NA,NA,2019-07-21
2866,2019-07-22,NA,NA,79.5,NA,NA,261.291.666.666.667,29.4,22.2,NA,1144,652630,175.290.746.671.161,NA,11.83,34.09,52.22,NA,28.5,NA,NA,2019-07-22
2867,2019-07-23,NA,NA,730.833.333.333.333,NA,NA,269.625,32.7,22.8,NA,888,525386,169.018.588.237.981,NA,11.46,45.83,63.08,NA,35.12,NA,NA,2019-07-23
2868,2019-07-24,NA,NA,827.708.333.333.333,NA,NA,264.166.666.666.667,29.4,23.2,NA,917,562435,16.304.106.252.278,NA,11,27.21,43.79,NA,26.33,NA,NA,2019-07-24
2869,2019-07-25,NA,NA,844.375,NA,NA,266.666.666.666.667,29.7,23.2,NA,720,425762,169.108.562.999.986,NA,9,26.12,39.79,NA,27.33,NA,NA,2019-07-25
2870,2019-07-26,NA,NA,70.75,NA,NA,270.166.666.666.667,31.9,22.9,NA,787,452970,173.742.190.432.037,NA,9.42,38.75,53.04,NA,34.42,NA,NA,2019-07-26
2871,2019-07-27,NA,NA,830.833.333.333.333,NA,NA,238.895.833.333.333,25.9,19.1,NA,234,160903,145.429.233.761.956,NA,2.71,17.04,21,NA,17.33,NA,NA,2019-07-27
2872,2019-07-28,NA,NA,592.291.666.666.667,NA,NA,236.208.333.333.333,27.3,19.8,NA,192,129957,147.741.175.927.422,NA,2.25,12.92,16.08,NA,12.79,NA,NA,2019-07-28
2873,2019-07-29,NA,NA,740.833.333.333.333,NA,NA,251.958.333.333.333,29.2,20.9,NA,1083,607765,178.193.874.277.064,NA,11.54,36.04,53.54,NA,25.25,NA,NA,2019-07-29
2874,2019-07-30,NA,NA,760.625,NA,NA,261.125,28.9,24,NA,854,527844,161.790.225.900.077,NA,10.33,31,46.67,NA,30.75,NA,NA,2019-07-30
2875,2019-07-31,NA,NA,679.047.619.047.619,NA,NA,247.738.095.238.095,27,22.7,NA,810,468372,172.939.458.379.237,NA,3.25,15.46,20.33,NA,22.45,NA,NA,2019-07-31
2876,2019-08-01,NA,NA,592.916.666.666.667,NA,NA,252.208.333.333.333,28.6,21.7,NA,814,500488,162.641.262.128.163,NA,4.38,24.5,31.08,NA,26.42,NA,NA,2019-08-01
2877,2019-08-02,NA,NA,552.083.333.333.333,NA,NA,260.854.166.666.667,30.4,21.7,NA,750,460258,162.952.083.396.704,NA,7.96,43.79,55.83,NA,36.67,NA,NA,2019-08-02
2878,2019-08-03,NA,NA,635.208.333.333.333,NA,NA,263.041.666.666.667,30.3,21.7,NA,267,192357,138.804.410.549.135,NA,3.67,30.83,36.58,NA,30.92,NA,NA,2019-08-03
2879,2019-08-04,NA,NA,682.083.333.333.333,NA,NA,2.701.875,31,22.9,NA,254,163814,155.053.902.596.848,NA,3.79,30.25,35.79,NA,29.62,NA,NA,2019-08-04
2880,2019-08-05,NA,NA,667.708.333.333.333,NA,NA,269.229.166.666.667,31.2,22.7,NA,970,568811,170.531.160.613.982,NA,7.83,36.12,47.92,NA,33.21,NA,NA,2019-08-05
2881,2019-08-06,NA,NA,81.375,NA,NA,262.770.833.333.333,29.4,23.4,NA,765,472932,161.756.869.909.416,NA,5.87,26.52,36.43,NA,32.54,NA,NA,2019-08-06
2882,2019-08-07,NA,NA,822.916.666.666.667,NA,NA,261.645.833.333.333,28.2,24.7,NA,679,423700,160.254.897.333.019,NA,2.17,12.12,15.96,NA,27.88,NA,NA,2019-08-07
2883,2019-08-08,NA,NA,764.375,NA,NA,277.958.333.333.333,30.3,24.7,NA,636,405333,156.908.023.773.046,NA,7.67,33.5,44.96,NA,53.5,NA,NA,2019-08-08
2884,2019-08-09,NA,NA,781.458.333.333.333,NA,NA,280.083.333.333.333,31.3,24.5,NA,646,399169,161.836.214.736.114,NA,10.04,39.5,54.67,NA,49.85,NA,NA,2019-08-09
2885,2019-08-10,NA,NA,788.125,NA,NA,271.625,30.1,25.3,NA,316,225361,140.219.470.094.648,NA,02.04,12.21,15.29,NA,32.14,NA,NA,2019-08-10
2886,2019-08-11,NA,NA,746.666.666.666.667,NA,NA,2.659.375,29.6,23.8,NA,156,95692,163.023.032.228.399,NA,3.42,15.21,20.38,NA,29.04,NA,NA,2019-08-11
2887,2019-08-12,NA,NA,74.75,NA,NA,244.333.333.333.333,27.8,20.6,NA,966,542925,17.792.512.778.008,NA,3.21,19.83,24.62,NA,18.46,NA,NA,2019-08-12
2888,2019-08-13,NA,NA,55.625,NA,NA,240.354.166.666.667,27.6,20.8,NA,834,510986,163.213.864.959.118,NA,3.71,21.83,27.46,NA,21,NA,NA,2019-08-13
2889,2019-08-14,NA,NA,684.791.666.666.667,NA,NA,24.35,27.6,20.3,NA,730,456739,159.828.698.665.978,NA,5.17,26.79,34.67,NA,24.88,NA,NA,2019-08-14
2890,2019-08-15,NA,NA,759.791.666.666.667,NA,NA,253.604.166.666.667,28.9,22,NA,211,146262,144.261.667.418.742,NA,5.96,28.04,37.21,NA,27.83,NA,NA,2019-08-15
2891,2019-08-16,NA,NA,842.291.666.666.667,NA,NA,244.083.333.333.333,28.8,21.5,NA,686,434328,15.794.514.744.617,NA,3.42,17.5,22.62,NA,18.58,NA,NA,2019-08-16
2892,2019-08-17,NA,NA,779.375,NA,NA,261.125,29.7,22.4,NA,256,163397,156.673.623.138.736,NA,4.96,26.96,34.67,NA,21.71,NA,NA,2019-08-17
2893,2019-08-18,NA,NA,823.958.333.333.333,NA,NA,260.979.166.666.667,30.1,22.3,NA,232,154052,15.059.849.920.806,NA,04.04,23.25,29.29,NA,25.75,NA,NA,2019-08-18
2894,2019-08-19,NA,NA,759.583.333.333.333,NA,NA,256.208.333.333.333,27.4,24.1,NA,964,584538,16.491.656.658.763,NA,3.17,11.12,16.62,NA,20.12,NA,NA,2019-08-19
2895,2019-08-20,NA,NA,633.958.333.333.333,NA,NA,248.083.333.333.333,27.1,21.3,NA,804,490001,16.408.129.779.327,NA,2.46,11.5,14.75,NA,18.75,NA,NA,2019-08-20
2896,2019-08-21,NA,NA,687.083.333.333.333,NA,NA,2.455.625,27.7,20.9,NA,675,410809,164.309.934.787.213,NA,2.75,19.46,23.38,NA,21.62,NA,NA,2019-08-21
2897,2019-08-22,NA,NA,684.791.666.666.667,NA,NA,256.166.666.666.667,28.8,22.2,NA,780,489010,159.505.940.573.812,NA,5.71,27.71,36.58,NA,29.08,NA,NA,2019-08-22
2898,2019-08-23,NA,NA,702.083.333.333.333,NA,NA,244.708.333.333.333,27.6,21.3,NA,709,443664,159.805.618.666.378,NA,04.04,25.88,31.92,NA,23.92,NA,NA,2019-08-23
2899,2019-08-24,NA,NA,746.458.333.333.333,NA,NA,251.729.166.666.667,28.7,21.2,NA,299,197876,151.104.732.256.565,NA,4.42,36.04,42.83,NA,31.5,NA,NA,2019-08-24
2900,2019-08-25,NA,NA,726.875,NA,NA,258.583.333.333.333,29.3,22.2,NA,224,150635,148.703.820.493.245,NA,2.75,25.46,29.38,NA,29.92,NA,NA,2019-08-25
2901,2019-08-26,NA,NA,755.833.333.333.333,NA,NA,250.104.166.666.667,28.4,20.9,NA,993,613077,161.969.866.754.095,NA,9.26,36.65,50.65,NA,32.09,NA,NA,2019-08-26
2902,2019-08-27,NA,NA,851.458.333.333.333,NA,NA,234.291.666.666.667,25.4,20.5,NA,791,480905,164.481.550.410.164,NA,5.92,38.88,47.75,NA,23.08,NA,NA,2019-08-27
2903,2019-08-28,NA,NA,743.958.333.333.333,NA,NA,249.020.833.333.333,28.2,21.3,NA,790,485035,162.874.844.083.417,NA,10.75,30.04,46.46,NA,24.96,NA,NA,2019-08-28
2904,2019-08-29,NA,NA,702.083.333.333.333,NA,NA,258.020.833.333.333,29.6,21.4,NA,726,437364,16.599.445.770.571,NA,6,34.83,44.08,NA,27.67,NA,NA,2019-08-29
2905,2019-08-30,NA,NA,697.291.666.666.667,NA,NA,263.145.833.333.333,30,22.5,NA,662,412422,160.515.200.450.024,NA,5.17,40.54,48.33,NA,27.38,NA,NA,2019-08-30
2906,2019-08-31,NA,NA,721.458.333.333.333,NA,NA,2.570.625,28.6,22.9,NA,268,193141,138.758.730.668.268,NA,3.54,33.92,39.04,NA,26.75,NA,NA,2019-08-31
2907,2019-09-01,NA,NA,72.125,NA,NA,249.416.666.666.667,28.2,21.8,NA,176,123491,142.520.507.567.353,NA,2.25,20.46,23.83,NA,21.04,NA,NA,2019-09-01
2908,2019-09-02,NA,NA,746.875,NA,NA,2.426.875,27.9,20.1,NA,1010,610060,165.557.486.148.903,NA,6.5,26.17,36.08,NA,19.71,NA,NA,2019-09-02
2909,2019-09-03,NA,NA,77.75,NA,NA,233.125,27.5,18.5,NA,880,551687,159.510.737.066.489,NA,4.17,23.62,30.04,NA,18.5,NA,NA,2019-09-03
2910,2019-09-04,NA,NA,73.625,NA,NA,240.604.166.666.667,28.1,19.5,NA,829,527503,157.155.504.328.885,NA,7.12,37.58,48.42,NA,25.21,NA,NA,2019-09-04
2911,2019-09-05,NA,NA,71.375,NA,NA,228.333.333.333.333,27,19,NA,789,478988,164.722.289.493.683,NA,04.08,29.42,35.58,NA,27.62,NA,NA,2019-09-05
2912,2019-09-06,NA,NA,554.375,NA,NA,222.291.666.666.667,25.6,18.9,NA,689,423828,162.565.946.563.228,NA,4.96,32.39,39.91,NA,22.33,NA,NA,2019-09-06
2913,2019-09-07,NA,NA,642.916.666.666.667,NA,NA,224.729.166.666.667,25.4,19.5,NA,257,168187,152.806.102.730.889,NA,2.54,21.08,24.83,NA,24.79,NA,NA,2019-09-07
2914,2019-09-08,NA,NA,824.375,NA,NA,208.604.166.666.667,25.3,18.7,NA,175,127122,137.663.032.362.612,NA,2.62,17.92,21.79,NA,21.79,NA,NA,2019-09-08
2915,2019-09-09,NA,NA,778.125,NA,NA,218.395.833.333.333,24,18.5,NA,995,578666,171.947.202.704.151,NA,4.67,25.92,32.88,NA,15.91,NA,NA,2019-09-09
2916,2019-09-10,NA,NA,964.375,NA,NA,163.645.833.333.333,21.2,14.7,NA,809,507965,159.262.941.344.384,NA,4.88,33.96,41.21,NA,12.33,NA,NA,2019-09-10
2917,2019-09-11,NA,NA,651.041.666.666.667,NA,NA,212.875,25.6,16.2,NA,187,124624,150.051.354.474.259,NA,1.58,11.17,13.29,NA,16.33,NA,NA,2019-09-11
2918,2019-09-12,NA,NA,658.958.333.333.333,NA,NA,22.1,27.2,17.6,NA,924,551939,167.409.804.344.321,NA,11.79,31.5,49.29,NA,26.71,NA,NA,2019-09-12
2919,2019-09-13,NA,NA,691.458.333.333.333,NA,NA,2.195.625,26,17.6,NA,896,545793,164.164.802.406.773,NA,9.42,38.58,52.58,NA,29.21,NA,NA,2019-09-13
2920,2019-09-14,NA,NA,659.166.666.666.667,NA,NA,231.854.166.666.667,26.2,19.7,NA,269,181108,148.530.158.800.274,NA,03.08,23.08,27.54,NA,23.83,NA,NA,2019-09-14
2921,2019-09-15,NA,NA,681.041.666.666.667,NA,NA,22.95,25.9,19.1,NA,188,128172,146.677.901.569.766,NA,1.92,17,19.83,NA,24.08,NA,NA,2019-09-15
2922,2019-09-16,NA,NA,709.583.333.333.333,NA,NA,222.125,25.9,19,NA,1197,668856,178.962.287.846.711,NA,12.75,43.79,62.88,NA,31.12,NA,NA,2019-09-16
2923,2019-09-17,NA,NA,748.958.333.333.333,NA,NA,2.240.625,27,18.1,NA,1147,641477,178.806.099.049.537,NA,17.17,50.5,76.58,NA,40.88,NA,NA,2019-09-17
2924,2019-09-18,NA,NA,790.208.333.333.333,NA,NA,2.301.875,27.5,19.3,NA,1137,622142,182.755.705.289.146,NA,17.96,51.92,79.38,NA,43.71,NA,NA,2019-09-18
